,Churn,Churn_Prob,CustID,predicted
879,0,0.19264205164910594,879,0
5790,0,0.2756238412193561,5790,0
6498,1,0.5995070708017126,6498,1
880,1,0.5135712607329099,880,1
2784,1,0.6482327215840066,2784,1
3874,0,0.414845528010448,3874,0
5387,0,0.4311836081960178,5387,0
6623,1,0.8017878900225722,6623,1
4465,0,0.2281940445464038,4465,0
5364,1,0.5045754204006773,5364,1
3022,0,0.1601399533626949,3022,0
1251,1,0.5664139859553604,1251,1
3494,1,0.7258015700038213,3494,1
266,0,0.006455351755337607,266,0
2772,0,0.007822174164362572,2772,0
242,0,0.06190723659850115,242,0
738,0,0.44114297604309294,738,0
4066,0,0.029639465197938343,4066,0
3214,0,0.2151532365845461,3214,0
2408,0,0.004333758092728583,2408,0
4201,0,0.001421732137040073,4201,0
389,0,0.42440789475480156,389,0
3683,0,0.004447640137837502,3683,0
689,0,0.27229616678645774,689,0
6502,0,0.052147086508125676,6502,0
500,0,0.14701379462110106,500,0
3296,0,0.17089966495328895,3296,0
4334,0,0.4653047750966575,4334,0
340,0,0.1361025424401858,340,0
3848,0,0.29136831466830765,3848,0
1037,0,0.5024281968109222,1037,1
2104,1,0.6259205292742943,2104,1
5527,0,0.1256206743892854,5527,0
1001,1,0.5909399562816118,1001,1
3889,0,0.049876609919972496,3889,0
2548,0,0.6388175956504699,2548,1
6746,1,0.19013027033988752,6746,0
6552,1,0.7930228534986058,6552,1
4352,0,0.16636696570493026,4352,0
1154,0,0.012309893209311999,1154,0
4812,1,0.20166481474936407,4812,0
6033,1,0.6837968583532814,6033,1
3404,0,0.037226463858863704,3404,0
4282,0,0.20611219521594162,4282,0
1723,0,0.03956620845312743,1723,0
4128,1,0.1073477725970838,4128,0
4283,0,0.749660513736813,4283,1
5453,0,0.006934977507971415,5453,0
47,1,0.7296430084377338,47,1
5059,1,0.5529661084703464,5059,1
653,0,0.09557602744518386,653,0
2409,0,0.12902792400632385,2409,0
3748,0,0.016927063330991154,3748,0
5620,0,0.09171801328823649,5620,0
2206,1,0.36454182675797064,2206,0
2374,0,0.16309382579634477,2374,0
3118,0,0.008677426264982383,3118,0
1108,0,0.0015771842196268344,1108,0
5558,0,0.05074897524810228,5558,0
5611,0,0.41558508784608694,5611,0
459,0,0.7332204128298047,459,1
4276,1,0.36482320381626415,4276,0
1662,1,0.6530741411965879,1662,1
5476,1,0.6926456141234446,5476,1
1092,0,0.002980467125560996,1092,0
4004,0,0.007799077865695202,4004,0
6079,0,0.20666578179837938,6079,0
592,0,0.017954763104558406,592,0
4914,0,0.006726970549399941,4914,0
5472,0,0.23813698934352182,5472,0
5758,0,0.029840990396244552,5758,0
6446,0,0.12628027056595462,6446,0
3130,0,0.11104147992393322,3130,0
853,0,0.3936832645364005,853,0
6644,0,0.2136883000183395,6644,0
4893,1,0.3204899166367097,4893,0
1979,0,0.009052795997229586,1979,0
4417,1,0.6008828783465681,4417,1
6723,0,0.006064029969492813,6723,0
3896,0,0.012005728334211298,3896,0
709,0,0.1839910953191611,709,0
3684,0,0.2625048107289041,3684,0
528,0,0.007944502621068024,528,0
4173,0,0.6754285552386757,4173,1
6856,0,0.0029497043845248014,6856,0
5367,0,0.024276203746496822,5367,0
1029,1,0.632139846598532,1029,1
3000,1,0.7132539235594639,3000,1
6271,0,0.36734029043380384,6271,0
1208,1,0.7404769041694582,1208,1
6937,0,0.15099107356919808,6937,0
6449,0,0.16984480300664115,6449,0
5834,0,0.32216346453003003,5834,0
3873,0,0.015723366719062964,3873,0
512,1,0.7850114954434204,512,1
4552,0,0.1493631518512308,4552,0
6025,0,0.09102228553770121,6025,0
3917,1,0.7131110717154034,3917,1
4906,0,0.0665257222227625,4906,0
4824,0,0.18354629106847833,4824,0
932,0,0.0009381032048610063,932,0
2945,0,0.4890319682121757,2945,0
4767,0,0.09284416004165631,4767,0
6951,0,0.005092851061330295,6951,0
6689,0,0.095544574386718,6689,0
3240,1,0.18311076393825104,3240,0
1094,0,0.0793586400603138,1094,0
5894,1,0.396639063422463,5894,0
5793,0,0.2855613268696974,5793,0
225,0,0.22447157179610944,225,0
5783,1,0.8396719574748485,5783,1
6194,0,0.06903046943021911,6194,0
5432,1,0.36144724394020566,5432,0
618,0,0.164952204907627,618,0
4822,0,0.03704347447010498,4822,0
4936,0,0.42103150649389326,4936,0
6535,1,0.292285345251583,6535,0
1626,0,0.18368767144110207,1626,0
5665,0,0.23391717525576605,5665,0
4627,0,0.11404660164130653,4627,0
904,0,0.010181836100753952,904,0
5819,0,0.05431327346713441,5819,0
4605,0,0.009090905203207869,4605,0
3129,0,0.12027426690262458,3129,0
5738,1,0.1651736521070797,5738,0
6229,0,0.013714880579825287,6229,0
1498,1,0.6315285573899829,1498,1
4101,0,0.4488232028745127,4101,0
5540,1,0.165393731261714,5540,0
4763,0,0.23744089620694064,4763,0
283,0,0.023929558657425982,283,0
6796,1,0.3209629032695641,6796,0
516,0,0.04070257814158238,516,0
1093,0,0.033746425287995256,1093,0
6357,1,0.063079009886121,6357,0
4706,1,0.4139074775735903,4706,0
870,0,0.05039900540876099,870,0
3051,0,0.013537089173373514,3051,0
6539,0,0.2579439094200175,6539,0
3134,0,0.03888859164343638,3134,0
6525,0,0.0025510087038016567,6525,0
1939,0,0.2156780465529487,1939,0
2648,0,0.17091195061749376,2648,0
1123,0,0.09740745254173108,1123,0
3541,0,0.1182325147082094,3541,0
4837,1,0.6904463800429874,4837,1
6290,1,0.10331469931486037,6290,0
3189,0,0.08294293673417844,3189,0
4780,0,0.4406196254384485,4780,0
4141,0,0.37112389177659266,4141,0
1913,0,0.13768877611209673,1913,0
359,0,0.26923844037105527,359,0
2673,1,0.6474871270520978,2673,1
1456,1,0.685129423850423,1456,1
1355,0,0.2097648713673753,1355,0
4062,1,0.6073828283743052,4062,1
3185,1,0.5883376844683825,3185,1
4704,0,0.38368278396544725,4704,0
2009,0,0.014706842437520946,2009,0
1844,0,0.019578195666798543,1844,0
5858,0,0.005053914997728063,5858,0
2762,0,0.15342157592133576,2762,0
2058,0,0.013570754519826584,2058,0
6524,1,0.6841200505588221,6524,1
90,0,0.2760883820245222,90,0
5093,0,0.03645744921150444,5093,0
496,0,0.0684149273796707,496,0
3756,1,0.5720542353627384,3756,1
2469,0,0.020295703259738312,2469,0
